Date,Close
2020-02-25,3227.2
2020-02-26,3228.6
2020-02-27,3230.0
2020-02-28,3231.3
2020-02-29,3232.7
2020-03-01,3234.0
2020-03-02,3235.4
2020-03-03,3236.8
2020-03-04,3238.1
2020-03-05,3239.5
2020-03-06,3240.8
2020-03-07,3242.2
2020-03-08,3243.5
2020-03-09,3244.9
2020-03-10,3246.3
2020-03-11,3247.6
2020-03-12,3249.0
2020-03-13,3250.3
2020-03-14,3251.7
2020-03-15,3253.1
2020-03-16,3254.4
2020-03-17,3255.8
2020-03-18,3257.1
2020-03-19,3258.5
2020-03-20,3259.9
2020-03-21,3261.2
2020-03-22,3262.6
2020-03-23,3263.9
2020-03-24,3265.3
